run_id,model,dataset,lang,n,seed,val_f1_weighted,test_f1_weighted,train_seconds
afroxlmr_yor_full_1024,afroxlmr,sib200,yor,full,1024,0.727359665494004,0.727359665494004,99.16416621208191
afroxlmr_amh_100_1024,afroxlmr,sib200,amh,100,1024,0.7867394996806762,0.7867394996806762,43.65277171134949
afroxlmr_amh_100_456,afroxlmr,sib200,amh,100,456,0.80679105420086,0.80679105420086,40.91936802864075
afroxlmr_amh_100_123,afroxlmr,sib200,amh,100,123,0.7684228719220438,0.7684228719220438,47.392181634902954
afroxlmr_amh_100_42,afroxlmr,sib200,amh,100,42,0.7549004239799676,0.7549004239799676,45.89270329475403
afroxlmr_yor_full_456,afroxlmr,sib200,yor,full,456,0.7418372918372919,0.7418372918372919,90.08904933929443
afroxlmr_yor_full_123,afroxlmr,sib200,yor,full,123,0.7823329823329823,0.7823329823329823,93.69830250740051
afroxlmr_yor_full_42,afroxlmr,sib200,yor,full,42,0.7303646896324242,0.7303646896324242,94.99404525756836
afroxlmr_yor_500_1024,afroxlmr,sib200,yor,500,1024,0.7211446740858506,0.7211446740858506,109.25943160057068
afroxlmr_yor_500_789,afroxlmr,sib200,yor,500,789,0.6854678011996753,0.6854678011996753,111.89470291137695
afroxlmr_yor_500_456,afroxlmr,sib200,yor,500,456,0.7292130639956728,0.7292130639956728,110.93166518211365
afroxlmr_yor_500_123,afroxlmr,sib200,yor,500,123,0.7634208371050476,0.7634208371050476,108.9036796092987
afroxlmr_yor_500_42,afroxlmr,sib200,yor,500,42,0.7216544716544717,0.7216544716544717,109.84541654586792
afroxlmr_yor_250_1024,afroxlmr,sib200,yor,250,1024,0.5523075527499188,0.5523075527499188,68.39352869987488
afroxlmr_yor_250_789,afroxlmr,sib200,yor,250,789,0.6522656259498365,0.6522656259498365,74.52229356765747
afroxlmr_yor_250_456,afroxlmr,sib200,yor,250,456,0.6757809757809758,0.6757809757809758,63.65394902229309
afroxlmr_yor_250_123,afroxlmr,sib200,yor,250,123,0.5657131099037752,0.5657131099037752,61.955196380615234
afroxlmr_yor_250_42,afroxlmr,sib200,yor,250,42,0.6454557100097702,0.6454557100097702,62.976733922958374
afroxlmr_yor_100_1024,afroxlmr,sib200,yor,100,1024,0.36064868730701016,0.36064868730701016,48.38154053688049
afroxlmr_yor_100_789,afroxlmr,sib200,yor,100,789,0.5261010236242435,0.5261010236242435,48.893208026885986
afroxlmr_yor_100_456,afroxlmr,sib200,yor,100,456,0.5527218708069771,0.5527218708069771,49.29691195487976
afroxlmr_yor_100_123,afroxlmr,sib200,yor,100,123,0.3393906702730232,0.3393906702730232,49.073052167892456
afroxlmr_yor_100_42,afroxlmr,sib200,yor,100,42,0.4633470517720992,0.4633470517720992,48.802369594573975
afroxlmr_swh_full_42,afroxlmr,sib200,swh,full,42,0.851700968482378,0.851700968482378,80.3552074432373
afroxlmr_swh_full_1024,afroxlmr,sib200,swh,full,1024,0.8282729157729157,0.8282729157729157,56.49954795837402
afroxlmr_swh_full_789,afroxlmr,sib200,swh,full,789,0.8651640539117854,0.8651640539117854,65.81379628181458
afroxlmr_swh_full_456,afroxlmr,sib200,swh,full,456,0.851700968482378,0.851700968482378,68.1796441078186
afroxlmr_swh_full_123,afroxlmr,sib200,swh,full,123,0.8396887760664851,0.8396887760664851,65.1208701133728
afroxlmr_swh_500_789,afroxlmr,sib200,swh,500,789,0.8530689438584175,0.8530689438584175,87.3382785320282
afroxlmr_swh_500_456,afroxlmr,sib200,swh,500,456,0.8525328231210584,0.8525328231210584,88.06327986717224
afroxlmr_swh_500_123,afroxlmr,sib200,swh,500,123,0.8791376949271684,0.8791376949271684,91.18175721168518
afroxlmr_swh_500_1024,afroxlmr,sib200,swh,500,1024,0.8524226143901601,0.8524226143901601,71.41716766357422
afroxlmr_swh_500_42,afroxlmr,sib200,swh,500,42,0.8392977486488177,0.8392977486488177,77.49108910560608
afroxlmr_swh_250_1024,afroxlmr,sib200,swh,250,1024,0.8215054657941114,0.8215054657941114,44.966241121292114
afroxlmr_swh_250_789,afroxlmr,sib200,swh,250,789,0.8515674087361927,0.8515674087361927,49.54485535621643
afroxlmr_swh_250_456,afroxlmr,sib200,swh,250,456,0.8378295167088271,0.8378295167088271,47.69582176208496
afroxlmr_swh_250_123,afroxlmr,sib200,swh,250,123,0.8387192050985154,0.8387192050985154,52.19754505157471
afroxlmr_sna_full_1024,afroxlmr,sib200,sna,full,1024,0.8125668197404209,0.8125668197404209,90.19105768203735
afroxlmr_swh_100_1024,afroxlmr,sib200,swh,100,1024,0.7785669390320553,0.7785669390320553,47.41958665847778
afroxlmr_swh_100_789,afroxlmr,sib200,swh,100,789,0.7858429858429858,0.7858429858429858,46.06359601020813
afroxlmr_swh_250_42,afroxlmr,sib200,swh,250,42,0.8218650983894886,0.8218650983894886,43.493937253952026
afroxlmr_swh_100_456,afroxlmr,sib200,swh,100,456,0.7960385374178477,0.7960385374178477,47.60299634933472
afroxlmr_swh_100_123,afroxlmr,sib200,swh,100,123,0.8140007845890199,0.8140007845890199,45.992613077163696
afroxlmr_swh_100_42,afroxlmr,sib200,swh,100,42,0.7666708562847929,0.7666708562847929,42.62497353553772
afroxlmr_sna_full_789,afroxlmr,sib200,sna,full,789,0.8239011985142016,0.8239011985142016,75.81793570518494
afroxlmr_sna_full_456,afroxlmr,sib200,sna,full,456,0.8520141983919074,0.8520141983919074,76.44193887710571
afroxlmr_sna_full_123,afroxlmr,sib200,sna,full,123,0.810291314332235,0.810291314332235,78.74462985992432
afroxlmr_sna_500_1024,afroxlmr,sib200,sna,500,1024,0.8391112982217717,0.8391112982217717,95.26555752754211
afroxlmr_sna_full_42,afroxlmr,sib200,sna,full,42,0.8040050524032217,0.8040050524032217,67.83608722686768
afroxlmr_sna_500_789,afroxlmr,sib200,sna,500,789,0.8531906689801426,0.8531906689801426,98.27080750465393
afroxlmr_sna_500_456,afroxlmr,sib200,sna,500,456,0.8096888962132864,0.8096888962132864,95.21616649627686
afroxlmr_sna_500_42,afroxlmr,sib200,sna,500,42,0.8241545003164195,0.8241545003164195,95.76646947860718
afroxlmr_sna_500_123,afroxlmr,sib200,sna,500,123,0.8159012524866183,0.8159012524866183,93.82447576522827
afroxlmr_sna_250_42,afroxlmr,sib200,sna,250,42,0.804577120366594,0.804577120366594,71.68488836288452
